"Ticker","Name","Mkt Cap £m","P/E","Op Profit","ROCE %","Net Debt","Div Cover","EV",""
"MNOD","GMK Noril'skiy nikel' OAO","16,873","1.73","110,237","19.6","113,462","0.52","1,209,659"," "
"SIA","SOCO International","1,053","21.3","278.6","19.6","-284","-","1,402"," "
"JUP","Jupiter Fund Management","1,468","17.3","103.6","19.5","-221.3","1.35","1,247"," "
"LSC","London Security","285.1","20.9","20.0","19.5","-2.43","1.62","282.7"," "
"GLTR","Globaltrans Investment","820.1","8.58","388.3","19.3","875.7","1.36","2,323"," "
"SGC","Stagecoach","2,150","15.6","200.8","19.3","470.8","2.41","2,621"," "
"EDCL","Eurasia Drilling","2,244","8.05","595","19.2","540.7","3.09","4,136"," "
"GMS","Gulf Marine Services","454.4","10.5","104","19.1","326.7","-","1,101"," "
"WEIR","Weir","4,598","16.6","467.4","19.1","751.2","3.18","5,356"," "
"BOK","Booker","2,117","21.3","123.8","19.0","-149.6","1.86","1,968"," "
"EZJ","easyJet","5,568","14.0","484","19.0","-449","2.98","5,119"," "
"RCDO","Ricardo","329.6","16.8","24.5","19.0","-12.6","2.39","317"," "
"ELM","Elementis","1,076","15.3","148.9","18.8","-5.00","2.98","1,719"," "
"SNR","Senior","1,086","14.3","100.8","18.8","114.3","3.34","1,200"," "
"E2V","E2V Technologies","325.2","13.2","34.2","18.5","-1.30","2.61","323.9"," "
"PSN","Persimmon","4,004","12.7","415.2","18.4","-326.3","0.75","3,678"," "
"TATE","Tate & Lyle","2,695","10.7","325","18.4","382","1.89","3,078"," "
"GPOR","Great Portland Estates","2,148","5.10","473.9","18.3","644.8","13.9","2,793"," "
"32NJ","Great Portland Estates","38,348","91.0","473.9","18.3","644.8","13.9","38,993"," "
"BVIC","Britvic","1,508","17.0","113","18.1","520","1.38","2,028"," "
"DMC","DAMAC Real Estate Development","2,287","14.3","766.9","17.9","-18.7","1.59","3,645"," "
"LOOK","Lookers","476.7","10.9","68.2","17.9","43.7","4.22","520.4"," "
"CKN","Clarkson","404.1","18.8","27.0","17.8","-100.3","1.72","303.8"," "
"HON","Honeywell International Inc","40,727","14.7","5,757","17.8","455","2.88","66,006"," "
"ADN","Aberdeen Asset Management","5,224","15.5","373.6","17.7","-547.1","1.46","5,067"," "
"ANTO","Antofagasta","6,694","16.7","2,006","17.7","-145","0.62","12,533"," "
"PZC","PZ Cussons","1,511","16.7","125.1","17.7","29.4","2.76","1,593"," "
